Sentence_A,Sentence_B,origin,frequency,freq_cat,pair_id,rating_anticonic_causal,rating_iconic_causal,rating_anticonic_temporal,rating_iconic_temporal,human_preferred_connective,human_preferred_connective_desc,human_preferred_connective_unrel,tested_relation,tested_order,relation_human,order_human,condition_human,tested_connective,additional_dimension
Kevin spends lots of money on gambling.,Kevin has a lot of debts.,origin,1001,4_frequent,7,4.066666666666666,8.466666666666667,4.333333333333333,4.8,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Whale meat is sold at a high price.,Whales are hunted.,origin,0,1_rare,8,6.666666666666667,8.333333333333334,5.533333333333333,3.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Whale meat is sold at a high price.,Whales are hunted.,origin,4,1_rare,8,6.666666666666667,8.333333333333334,5.533333333333333,3.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Whale meat is sold at a high price.,Whales are hunted.,origin,10,2_uncommon,8,6.666666666666667,8.333333333333334,5.533333333333333,3.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Whale meat is sold at a high price.,Whales are hunted.,origin,7,2_uncommon,8,6.666666666666667,8.333333333333334,5.533333333333333,3.333333333333333,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Whales are hunted.,Whale meat is sold at a high price.,origin,5,2_uncommon,8,7.6,5.333333333333333,4.666666666666667,7.933333333333334,then,iconic_temp,then,causality,A follows B,Temporal,"A,B","Temporal-A,B",after,socially_challenging
Whales are hunted.,Whale meat is sold at a high price.,origin,6,2_uncommon,8,7.6,5.333333333333333,4.666666666666667,7.933333333333334,then,iconic_temp,then,causality,A follows B,Temporal,"A,B","Temporal-A,B",because,socially_challenging
Whales are hunted.,Whale meat is sold at a high price.,origin,13,2_uncommon,8,7.6,5.333333333333333,4.666666666666667,7.933333333333334,then,iconic_temp,then,causality,A follows B,Temporal,"A,B","Temporal-A,B",so,socially_challenging
Whales are hunted.,Whale meat is sold at a high price.,origin,22,2_uncommon,8,7.6,5.333333333333333,4.666666666666667,7.933333333333334,then,iconic_temp,then,causality,A follows B,Temporal,"A,B","Temporal-A,B",then,socially_challenging
Mark is a Jehovah's Witness.,Mark refuses transfusions even if he is sick.,origin,1,1_rare,9,3.8,9.666666666666666,2.466666666666667,3.4,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Mark is a Jehovah's Witness.,Mark refuses transfusions even if he is sick.,origin,5,2_uncommon,9,3.8,9.666666666666666,2.466666666666667,3.4,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Mark is a Jehovah's Witness.,Mark refuses transfusions even if he is sick.,origin,1,1_rare,9,3.8,9.666666666666666,2.466666666666667,3.4,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Mark is a Jehovah's Witness.,Mark refuses transfusions even if he is sick.,origin,2,1_rare,9,3.8,9.666666666666666,2.466666666666667,3.4,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Mark refuses transfusions even if he is sick.,Mark is a Jehovah's Witness.,origin,0,1_rare,9,8.333333333333334,3.866666666666666,4.0,3.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Mark refuses transfusions even if he is sick.,Mark is a Jehovah's Witness.,origin,8,2_uncommon,9,8.333333333333334,3.866666666666666,4.0,3.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Mark refuses transfusions even if he is sick.,Mark is a Jehovah's Witness.,origin,5,2_uncommon,9,8.333333333333334,3.866666666666666,4.0,3.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Mark refuses transfusions even if he is sick.,Mark is a Jehovah's Witness.,origin,1,1_rare,9,8.333333333333334,3.866666666666666,4.0,3.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Tom has gained weight in the last year.,"Tom's friends call him ""fatty"".",origin,78,3_common,10,3.466666666666667,9.533333333333331,4.466666666666667,5.066666666666666,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Tom has gained weight in the last year.,"Tom's friends call him ""fatty"".",origin,29,2_uncommon,10,3.466666666666667,9.533333333333331,4.466666666666667,5.066666666666666,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Tom has gained weight in the last year.,"Tom's friends call him ""fatty"".",origin,181,3_common,10,3.466666666666667,9.533333333333331,4.466666666666667,5.066666666666666,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Tom has gained weight in the last year.,"Tom's friends call him ""fatty"".",origin,62,3_common,10,3.466666666666667,9.533333333333331,4.466666666666667,5.066666666666666,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
"Tom's friends call him ""fatty"".",Tom has gained weight in the last year.,origin,74,3_common,10,9.266666666666667,2.6666666666666665,9.066666666666666,1.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
"Tom's friends call him ""fatty"".",Tom has gained weight in the last year.,origin,75,3_common,10,9.266666666666667,2.6666666666666665,9.066666666666666,1.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
"Tom's friends call him ""fatty"".",Tom has gained weight in the last year.,origin,71,3_common,10,9.266666666666667,2.6666666666666665,9.066666666666666,1.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
"Tom's friends call him ""fatty"".",Tom has gained weight in the last year.,origin,27,2_uncommon,10,9.266666666666667,2.6666666666666665,9.066666666666666,1.4,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Cindy can finally book a vacation around the world.,Cindy cheated to win the lottery.,origin,0,1_rare,11,6.666666666666667,2.466666666666667,7.866666666666666,1.4,after,anticonic_temp,after,causality,A follows B,Temporal,"B,A","Temporal-B,A",after,socially_challenging
Cindy can finally book a vacation around the world.,Cindy cheated to win the lottery.,origin,0,1_rare,11,6.666666666666667,2.466666666666667,7.866666666666666,1.4,after,anticonic_temp,after,causality,A follows B,Temporal,"B,A","Temporal-B,A",because,socially_challenging
Cindy can finally book a vacation around the world.,Cindy cheated to win the lottery.,origin,0,1_rare,11,6.666666666666667,2.466666666666667,7.866666666666666,1.4,after,anticonic_temp,after,causality,A follows B,Temporal,"B,A","Temporal-B,A",so,socially_challenging
Cindy can finally book a vacation around the world.,Cindy cheated to win the lottery.,origin,0,1_rare,11,6.666666666666667,2.466666666666667,7.866666666666666,1.4,after,anticonic_temp,after,causality,A follows B,Temporal,"B,A","Temporal-B,A",then,socially_challenging
Cindy cheated to win the lottery.,Cindy can finally book a vacation around the world.,origin,0,1_rare,11,1.6666666666666667,7.2,4.466666666666667,5.066666666666666,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Cindy cheated to win the lottery.,Cindy can finally book a vacation around the world.,origin,0,1_rare,11,1.6666666666666667,7.2,4.466666666666667,5.066666666666666,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Cindy cheated to win the lottery.,Cindy can finally book a vacation around the world.,origin,0,1_rare,11,1.6666666666666667,7.2,4.466666666666667,5.066666666666666,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Cindy cheated to win the lottery.,Cindy can finally book a vacation around the world.,origin,0,1_rare,11,1.6666666666666667,7.2,4.466666666666667,5.066666666666666,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Fred believes that women should take care of the house.,Fred does not allow his wife to work as CEO.,origin,6,2_uncommon,12,5.0,9.066666666666666,2.8,3.6666666666666665,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Fred believes that women should take care of the house.,Fred does not allow his wife to work as CEO.,origin,5,2_uncommon,12,5.0,9.066666666666666,2.8,3.6666666666666665,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Fred believes that women should take care of the house.,Fred does not allow his wife to work as CEO.,origin,9,2_uncommon,12,5.0,9.066666666666666,2.8,3.6666666666666665,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Fred believes that women should take care of the house.,Fred does not allow his wife to work as CEO.,origin,2,1_rare,12,5.0,9.066666666666666,2.8,3.6666666666666665,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Fred does not allow his wife to work as CEO.,Fred believes that women should take care of the house.,origin,7,2_uncommon,12,9.6,4.8,2.6666666666666665,2.2,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Fred does not allow his wife to work as CEO.,Fred believes that women should take care of the house.,origin,9,2_uncommon,12,9.6,4.8,2.6666666666666665,2.2,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Fred does not allow his wife to work as CEO.,Fred believes that women should take care of the house.,origin,10,2_uncommon,12,9.6,4.8,2.6666666666666665,2.2,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Fred does not allow his wife to work as CEO.,Fred believes that women should take care of the house.,origin,11,2_uncommon,12,9.6,4.8,2.6666666666666665,2.2,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Brad runs the red light.,Brad wanted to go home to watch the football match.,origin,6,2_uncommon,13,9.133333333333333,2.0,3.333333333333333,4.066666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Brad runs the red light.,Brad wanted to go home to watch the football match.,origin,0,1_rare,13,9.133333333333333,2.0,3.333333333333333,4.066666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Brad runs the red light.,Brad wanted to go home to watch the football match.,origin,8,2_uncommon,13,9.133333333333333,2.0,3.333333333333333,4.066666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Brad runs the red light.,Brad wanted to go home to watch the football match.,origin,4,1_rare,13,9.133333333333333,2.0,3.333333333333333,4.066666666666666,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Brad wanted to go home to watch the football match.,Brad runs the red light.,origin,1,1_rare,13,1.4666666666666666,6.533333333333333,2.8666666666666667,5.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Brad wanted to go home to watch the football match.,Brad runs the red light.,origin,4,1_rare,13,1.4666666666666666,6.533333333333333,2.8666666666666667,5.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Brad wanted to go home to watch the football match.,Brad runs the red light.,origin,0,1_rare,13,1.4666666666666666,6.533333333333333,2.8666666666666667,5.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
Brad wanted to go home to watch the football match.,Brad runs the red light.,origin,7,2_uncommon,13,1.4666666666666666,6.533333333333333,2.8666666666666667,5.2,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",then,socially_challenging
Luca's father forced him obey to the precepts of his religion.,Luca's father is very religious.,origin,0,1_rare,14,8.333333333333334,4.733333333333333,2.6666666666666665,2.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",after,socially_challenging
Luca's father forced him obey to the precepts of his religion.,Luca's father is very religious.,origin,0,1_rare,14,8.333333333333334,4.733333333333333,2.6666666666666665,2.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",because,socially_challenging
Luca's father forced him obey to the precepts of his religion.,Luca's father is very religious.,origin,0,1_rare,14,8.333333333333334,4.733333333333333,2.6666666666666665,2.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",so,socially_challenging
Luca's father forced him obey to the precepts of his religion.,Luca's father is very religious.,origin,0,1_rare,14,8.333333333333334,4.733333333333333,2.6666666666666665,2.6,because,anticonic_caus,because,causality,A follows B,Causal,"B,A","Causal-B,A",then,socially_challenging
Luca's father is very religious.,Luca's father forced him obey to the precepts of his religion.,origin,0,1_rare,14,5.533333333333333,9.2,2.466666666666667,6.8,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",after,socially_challenging
Luca's father is very religious.,Luca's father forced him obey to the precepts of his religion.,origin,0,1_rare,14,5.533333333333333,9.2,2.466666666666667,6.8,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",because,socially_challenging
Luca's father is very religious.,Luca's father forced him obey to the precepts of his religion.,origin,0,1_rare,14,5.533333333333333,9.2,2.466666666666667,6.8,so,iconic_caus,so,causality,B follows A,Causal,"A,B","Causal-A,B",so,socially_challenging
